�gnc,Date,Issuer,Symbol,Lead/Joint-Lead _Managers,Offer_Price,Opening_Price,1st Day_Close,1st Day_Chng
219,2019/9/19,Ping Identity Holding  ,PING,Goldman Sachs/ BofA Merrill Lynch/ RBC Capital Markets/ Citigroup,15,18.75,20.11,0.3407
220,2019/9/26,Oportun Financial ,OPRT,"Barclays/ J.P. Morgan/ Jefferies/ Keefe, Bruyette & Woods (A Stifel Company)",15,15.7,16.17,0.078
221,2019/9/26,Peloton Interactive ,PTON,Goldman Sachs/ J.P. Morgan,29,27,25.76,-0.1117
222,2019/10/3,Aprea Therapeutics ,APRE,J.P. Morgan/ Morgan Stanley/ RBC Capital Markets,15,15.46,20.5,0.3667
223,2019/10/3,Frequency Therapeutics ,FREQ,J.P. Morgan/ Goldman Sachs/ Cowen,14,11.2,13.7,-0.0214
224,2019/10/3,Viela Bio ,VIE,Goldman Sachs/ Morgan Stanley/ Cowen,19,21.5,23.41,0.2321
225,2019/10/10,BioNTech SE ,BNTX,J.P. Morgan/ BofA Merrill Lynch/ UBS Investment Bank/ SVB Leerink,15,16.5,14.24,-0.0507
226,2019/10/11,HBT Financial ,HBT,"Keefe, Bruyette & Woods (A Stifel Company)/ J.P. Morgan",15,16.2,15.54,0.036
227,2019/10/11,Vir Biotechnology ,VIR,Goldman Sachs/ J.P. Morgan/ Cowen/ Barclays,20,16.15,14.02,-0.299
228,2019/10/17,BellRing Brands ,BRBR,Morgan Stanley/ Citigroup/ J.P. Morgan/ Goldman Sachs,14,15.5,16.5,0.1786
229,2019/10/18,Galileo Acquisition ,GLEO.U,EarlyBirdCapital,10,10.06,10.04,0.004
230,2019/10/18,Union Acquisition Corp. II ,LATNU,Cantor,10,10.1,10.1,0.01
231,2019/10/24,BRP Group,BRP,J.P. Morgan/ BofA Merrill Lynch,14,17.38,16.37,0.1693
232,2019/10/25,Aesthetic Medical International Holdings Group ,AIH,Cantor/ Haitong International/ Prime Number Capital,12,12.16,10.03,-0.1642
233,2019/10/25,Cabaletta Bio ,CABA,Morgan Stanley/ Cowen and Company/ Evercore Group,11,9,10,-0.0909
234,2019/10/25,Happiness Biology Technology Group ,HAPP,Univest Securities,5.5,4.9,4.5,-0.1818
235,2019/10/25,Phathom Pharmaceuticals ,PHAT,Goldman Sachs/ Jefferies/ Evercore ISI,19,22.5,24.6,0.2947
236,2019/10/25,Progyny ,PGNY,J.P. Morgan/ Goldman Sachs/ BofA Merrill Lynch,13,13.5,15.94,0.2262
237,2019/10/25,TFF Pharmaceuticals ,TFFP,National Securities,5,5.19,5.07,0.014
238,2019/10/25,Youdao ,DAO,Citigroup/ Morgan Stanley,17,13.5,12.5,-0.2647
239,2019/10/31,Oyster Point Pharma ,OYST,J.P. Morgan/ Cowen/ Piper Jaffray,16,16.5,18.78,0.1738
240,2019/10/31,RAPT Therapeutics ,RAPT,BMO Capital Markets/ Wells Fargo Securities/ UBS Investment Bank,12,12.25,13,0.0833
241,2019/11/1,Fangdd Network Group ,DUO,Morgan Stanley/ Citigroup/ UBS/ CICC/ AMTD,13,13,13,0
242,2019/11/1,FinServ Acquisition ,FSRVU,Barclays/ Cantor,10,10.06,10.06,0.006
243,2019/11/1,Osprey Technology Acquisition,SFTW.U,Credit Suisse,10,10,10,0
244,2019/11/5,Merida Merger ,MCMJU,EarlyBirdCapital,10,10,10,0
245,2019/11/5,Q&K International Group,QK,Morgan Stanley/ CICC,17,17.35,17.64,0.0376
246,2019/11/7,Centogene B.V. ,CNTG,SVB Leerink/ Evercore ISI,14,14.1,12.49,-0.1079
247,2019/11/7,Galera Therapeutics ,GRTX,BofA Merrill Lynch/ Citigroup/ Credit Suisse,12,12.5,12,0
248,2019/11/7,LGL Systems Acquisition ,DFNSU,Jefferies,10,10.03,10.04,0.004
249,2019/11/7,Silvergate Capital ,SI,"Barclays/ Keefe, Bruyette & Woods (A Stifel Company)",12,12.75,12.52,0.0433
250,2019/11/8,36Kr Holdings ,KRKR,Credit Suisse/ CICC,14.5,12.58,13.06,-0.0993
251,2019/11/8,CNS Pharmaceuticals ,CNSP,Benchmark,4,4.11,4.57,0.1425
252,2019/11/8,ECMOHO ,MOHO,UBS Investment Bank/ CICC,10,10.1,10.1,0.01
253,2019/11/8,Juniper Industrial Holdings (JIH.U) (u),JIH.U,UBS Investment Bank,10,10,10,0
254,2019/11/8,Stable Road Acquisition ,SRACU,Cantor,10,10.12,10.05,0.005
255,2019/11/8,TELA Bio ,TELA,Jefferies/ Piper Jaffray,13,13.75,13.35,0.0269
256,2019/11/11,89bio ,ETNB,BofA Merrill Lynch/ SVB Leerink/ RBC Capital Markets,16,20,20.8,0.3
257,2019/11/12,YayYo ,YAYO,Aegis Capital/ WestPark Capital,4,4.05,3.55,-0.1125
258,2019/11/19,GreenVision Acquisition ,GRNVU,I-Bankers Securities ,10,10.03,10.03,0.003
259,2019/11/20,Amplitude Healthcare Acquisition ,AMHCU,BMO Capital Markets/ SVB Leerink,10,9.98,10,0
260,2019/11/20,Software Acquisition Group ,SAQNU,B. Riley FBR,10,10.08,10.07,0.007
261,2019/11/21,Canaan ,CAN,Citigroup/ China Renaissance/ CMBI,9,12.6,8.99,-0.0011
262,2019/11/21,SiTime ,SITM,Barclays/ Stifel,13,16.9,18.65,0.4346
263,2019/11/22,Alpine Income Property Trust ,PINE,Raymond James/Baird/B. Riley FBR/BMO Capital Markets,19,19,19,0
264,2019/11/22,CHP Merger,CHPMU,J.P. Morgan/ Credit Suisse/ Morgan Stanley,10,10.04,10.05,0.005
265,2019/11/22,PropTech Acquisition ,PTACU,Cantor,10,10.1,10.11,0.011
266,2019/11/26,Alussa Energy Acquisition (ALUSU) (u),ALUS.U,BTIG,10,10.03,10.02,0.002
267,2019/12/5,LMP Automotive Holdings ,LMPX,ThinkEquity (a division of Fordham Financial Management),5,5,5.36,0.072
268,2019/12/11,LIV Capital Acquisition ,LIVKU,EarlyBirdCapital,10.01,10.01,10.02,0.001
269,2019/12/11,XP Inc. ,XP,Goldman Sachs/ J.P. Morgan/ Morgan Stanley/ XP Investments/ Itaú BBA,27,32.75,34.46,0.2763
270,2019/12/12,Bill.com Holdings ,BILL,Goldman Sachs/ BofA Securities/ Jefferies/ KeyBanc Capital Markets,22,37.5,35.5,0.6136
271,2019/12/12,EHang Holdings,EH,Morgan Stanley/ Credit Suisse,12.5,12.55,12.49,-0.0008
272,2019/12/13,CIIG Merger,CIICU,UBS Investment Bank/ Barclays,10,10.02,10.18,0.018
273,2019/12/13,Healthcare Merger,HCCOU,Cantor,10,10.16,10.3,0.03
274,2019/12/13,OneConnect Financial Technology ,OCFT,Morgan Stanley/ Goldman Sachs (Asia)/ J.P. Morgan/ Ping An of China Securities (Hong Kong),10,10.51,10,0
275,2019/12/13,Sprout Social ,SPT,Goldman Sachs/ Morgan Stanley,17,18.05,16.6,-0.0235
276,2019/12/19,Indonesia Energy ,INDO,Maxim Group,11,11,10.5,-0.0455
277,2019/12/19,Monopar Therapeutics ,MNPR,JonesTrading,8,8.35,26.5,2.3125
278,2019/12/30,Molecular Data ,MKD,AMTD/ Fosun Hani/ Boustead Securities,5.38,6,5.46,0.0149
279,2018/1/10,Nebula Acquisition ,NEBUU,Deutsche Bank Securities/ Goldman Sachs,10,10.03,10.02,0.002
280,2018/1/12,Industrial Logistics Properties Trust ,ILPT,UBS Investment Bank/ Citigroup/ RBC Capital Markets,24,23.7,23.35,-0.0271
281,2018/1/12,Liberty Oilfield Services ,LBRT,"Morgan Stanley/ Goldman, Sachs/ Wells Fargo Securities/ Citigroup/ J.P. Morgan/ Evercore ISI",17,21.2,21.75,0.2794
282,2018/1/12,Platinum Eagle Acquisition ,EAGLU,Deutsche Bank Securities/ BofA Merrill Lynch,10,10.06,10.01,0.001
283,2018/1/24,PagSeguro Digital Ltd. ,PAGS,Goldman Sachs/ Morgan Stanley,21.5,28.2,29.2,0.3581
284,2018/1/25,Eyenovia  ,EYEN,Ladenburg Thalmann/ Roth Capital Partners​,10,10,9.92,-0.008
285,2018/1/25,Gates Industrial Corporation plc ,GTES,Citigroup/ Morgan Stanley/ UBS Investment Bank,19,19.05,18.5,-0.0263
286,2018/1/25,Gordon Pointe Acqusition ,GPAQU,B. Riley FBR,10,10,10,0
287,2018/1/25,Menlo Therapeutics ,MNLO,Jefferies/ Piper Jaffray/ Guggenheim Securities,17,20.5,28.71,0.6888
288,2018/1/26,ARMO BioSciences ,ARMO,Jefferies/ Leerink Partners/ BMO Capital Markets,17,28,29.74,0.7494
289,2018/1/26,PlayAGS ,AGS,Credit Suisse/ Deutsche Bank Securities/ Jefferies/ Macquarie Capital/ BofA Merrill Lynch/ Citigroup/ Nomura/ Stifel/ SunTrust Robinson Humphrey,16,14,18.5,0.1563
290,2018/1/26,resTORbio ,TORC,BofA Merrill Lynch/ Leerink Partners/ Evercore ISI,15,18.62,16.58,0.1053
291,2018/1/26,Solid Biosciences ,SLDB,J.P. Morgan/ Goldman Sachs/ Leerink Partners,16,25.5,22.62,0.4138
292,2018/1/30,MTech Acquisition ,MTECU,EarlyBirdCapital,10,10.01,10.07,0.007
293,2018/2/1,One Stop Systems ,OSS,Roth Capital Partners,5,5.55,4.88,-0.024
294,2018/2/1,Corporación América Air. ,CAAP,Oppenheimer & Co.,17,17,16.4,-0.0353
295,2018/2/1,Hudson Ltd. ,HUD,Credit Suisse/ Morgan Stanley/ UBS Investment Bank,19,17.95,17.6,-0.0737
296,2018/2/1,Sol-Gel Technologies ,SLGL,​Jefferies/ BMO Capital Markets​,12,15.33,13.64,0.1367
297,2018/2/2,FTS International ,FTSI,Credit Suisse/ Morgan Stanley,18,19,20.61,0.145
298,2018/2/8,Cactus ,WHD,Citigroup/ Credit Suisse,19,21.1,20.25,0.0658
299,2018/2/8,Evolus ,EOLS,Cantor/ Mizuho Securities,12,11.2,11.5,-0.0417
300,2018/2/8,Huami Corporation ,HMI,Credit Suisse/ Citigroup/ China Renaissance,11,12,11.25,0.0227
301,2018/2/8,Mudrick Capital Acquisition ,MUDSU,Cantor,10,10,10,0
302,2018/2/8,Victory Capital Holdings ,VCTR,J.P. Morgan/ BofA Merrill Lynch/ Morgan Stanley Barclays/ Goldman Sachs/ RBC Capital Markets,13,12.25,11.6,-0.1077
303,2018/2/9,Cardlytics ,CDLX,BofA Merrill Lynch/ J.P. Morgan,13,12.1,13.37,0.0285
304,2018/2/9,Quintana Energy Services ,QES,BofA Merrill Lynch/ Simmons & Company International (Energy Specialists of Piper Jaffray),10,9,9,-0.1
305,2018/2/13,Leo Holdings ,LHC.U,Citigroup,10,10,9.93,-0.007
306,2018/2/14,Motus GI Holdings ,MOTS,Piper Jaffray/ Oppenheimer,5,5,4.38,-0.124
307,2018/2/16,DFB Healthcare Acquisitions (DFBHU) (u),DFBHU,Goldman Sachs/ Deutsche Bank Securities,10,10,10,0
308,2018/2/16,Farmmi,FAMI,ViewTrade Securities,4,4.4,6.18,0.545
309,2018/2/28,Union Acquisition ,LTN.U,Ladenburg Thalmann/ Brookline Capital Markets,10,10.01,10.01,0.001
310,2018/3/8,BioXcel Therapeutics ,BTAI,Barclays/ UBS Investment Bank/ BMO Capital Markets,11,11.02,11.03,0.0027
311,2018/3/14,Bridgewater Bancshares ,BWB,Sandler O'Neill & Partners/ D.A. Davidson,11.75,12.66,12.62,0.074
312,2018/3/14,Opes Acquisition ,OPESU,EarlyBirdCapital,10,10.03,10.02,0.002
313,2018/3/15,Arcus Biosciences ,RCUS,Citigroup/ Goldman Sachs/ Leerink Partners,15,20,17,0.1333
314,2018/3/16,Senmiao Technology ,AIHS,ViewTrade Securities,4,5.51,5.56,0.39
315,2018/3/16,Tiberius Acquisition ,TIBRU,Cantor/ Dowling & Partners Securities,10,10.01,10.02,0.002
316,2018/3/16,Zscaler ,ZS,Morgan Stanley/ Goldman Sachs,16,27.5,33,1.0625
317,2018/3/20,Golden Bull,DNJR,ViewTrade Securities,4,5.2,4.62,0.155
318,2018/3/23,Dropbox ,DBX,Goldman Sachs/ J.P. Morgan/ Deutsche Bank Securities/ Allen & Company/ BofA Merrill Lynch,21,29,28.48,0.3562
319,2018/3/23,Sunlands Online Education Group ,STG,Goldman Sachs (Asia)/ J.P. Morgan/ Credit Suisse,11.5,13.1,11.1,-0.0348
320,2018/3/27,GreenTree Hospitality Group ,GHG,Morgan Stanley/ BofA Merrill Lynch/ UBS Securities,14,14.4,13,-0.0714
321,2018/3/28,Bilibili ,BILI,Morgan Stanley/ BofA Merrill Lynch/ J.P. Morgan,11.5,9.8,11.24,-0.0226
322,2018/3/28,Homology Medicines ,FIXX,BofA Merrill Lynch/ Cowen/ Evercore ISI,16,23,18.66,0.1663
323,2018/3/28,OneSmart International Education Group ,ONE,Morgan Stanley/ Deutsche Bank Securities,11,11,10.8,-0.0182
324,2018/3/29,Genprex ,GNPX,Network 1 Financial Securities,5,4.64,4.7,-0.06
325,2018/3/29,iQIYI,IQ,Goldman Sachs (Asia)/ Credit Suisse/ BofA Merrill Lynch,18,18.2,15.55,-0.1361
326,2018/3/29,Unum Therapeutics ,UMRX,Morgan Stanley/ Cowen,12,11.75,11.11,-0.0742
327,2018/4/12,Zuora ,ZUO,Goldman Sachs/ Morgan Stanley/ Allen & Company/ Jefferies,14,20,20,0.4286
328,2018/4/13,Pure Acquisition ,PACQU,Oppenheimer/ EarlyBirdCapital,10,10.1,10.12,0.012
329,2018/4/19,GrafTech International Ltd. ,EAF,J.P. Morgan/ Credit Suisse,10,10.1,10.12,0.012
330,2018/4/19,Surface Oncology ,SURF,Goldman Sachs/ Cowen/ Evercore ISI,15,14.75,13.55,-0.0967
331,2018/4/20,Level One Bancorp ,LEVL,"Raymond James/ Keefe, Bruyette & Woods (A Stifel Company)",28,29,29.26,0.045
332,2018/4/20,Pivotal Software ,PVTL,Morgan Stanley/ Goldman Sachs/ Citigroup,15,16.75,15.73,0.0487
333,2018/4/26,Ceridian HCM Holding,CDAY,Goldman Sachs/ J.P. Morgan/ Credit Suisse/ Deutsche Bank Securities,21,28.9,31.21,0.4862
334,2018/4/26,nLIGHT ,LASR,Stifel/ Raymond James,16,23,26.95,0.6844
335,2018/4/27,DocuSign,DOCU,Morgan Stanley/ J.P. Morgan,29,38,39.73,0.37
336,2018/4/27,Goosehead Insurance ,GSHD,J.P. Morgan/ BofA Merrill Lynch,10,12,15.75,0.575
337,2018/4/27,Smartsheet,SMAR,Morgan Stanley/ J.P. Morgan/ Jefferies/ RBC Capital Markets,15,18.4,19.5,0.3
338,2018/5/2,PermRock Royalty Trust ,PRT,Wells Fargo Securities/ Goldman Sachs/ UBS Investment Bank,17,17,15.5,-0.0882
339,2018/5/3,Inspire Medical Systems ,INSP,BofA Merrill Lynch/ Goldman Sachs,16,24.49,24.98,0.5613
340,2018/5/3,Unity Biotechnology ,UBX,Goldman Sachs/ Morgan Stanley/ Citigroup,17,19,16.65,-0.0206
341,2018/5/4,Carbon Black,CBLK,Morgan Stanley/ J.P. Morgan,19,24.7,23.94,0.26
342,2018/5/4,Construction Partners ,ROAD,Baird/ Raymond James/ Stephens,12,13,12.1,0.0083
343,2018/5/4,Spirit of Texas Bancshares ,STXB,"Stephens/ Keefe, Bruyette & Woods (A Stifel Company)",21,22,21.85,0.0405
344,2018/5/9,Evelo Biosciences ,EVLO,Morgan Stanley/ Cowen/ BMO Capital Markets,16,16,16.25,0.0156
345,2018/5/9,Origin Bancorp ,OBNK,Stephens/ Raymond James,34,36.25,37.16,0.0929
346,2018/5/10,AXA Equitable Holdings ,EQH,Morgan Stanley/ J.P. Morgan/ Citigroup,20,19.75,20.34,0.017
347,2018/5/11,HUYA ,HUYA,Credit Suisse/ Goldman Sachs (Asia)/ UBS Investment Bank,12,15.5,16.06,0.3383
348,2018/5/15,Trinity Merger,TMCXU,B. Riley FBR,10,10,10.01,0.001
349,2018/5/16,VectoIQ Acquisition ,VTIQU,Cowen/ Chardan,10,10,10,0
350,2018/5/17,Pluralsight ,PS,Morgan Stanley/ J.P. Morgan/ Barclays/ BofA Merrill Lynch,15,20,20,0.3333
351,2018/5/23,EVO Payments ,EVOP,J.P. Morgan/ BofA Merrill Lynch/ Citigroup/ Deutsche Bank Securities/ SunTrust Robinson Humphrey/ Barclays/ Cowen/ Goldman Sachs/ Regions Securities/ William Blair,14,20.5,19.02,0.3586
352,2018/5/24,CLPS Incorporation ,CLPS,Benchmark/ Cuttone,5.25,5.75,5.51,0.0495
353,2018/5/24,GreenSky ,GSKY,Goldman Sachs/ J.P. Morgan/ Morgan Stanley/ BofA Merrill Lynch/ Citigroup/ Credit Suisse/ SunTrust Robinson Humphrey,23,22.15,23.36,0.0157
354,2018/5/24,Kiniksa Pharmaceuticals ,KNSA,Goldman Sachs/ J.P. Morgan,18,24.45,19.47,0.0817
355,2018/5/24,Scholar Rock Holding ,SRRK,Jefferies/ Cowen/ BMO Capital Markets,14,14.25,15.5,0.1071
356,2018/5/25,Iterum Therapeutics plc ,ITRM,Leerink Partners/ RBC Capital Markets,13,12.7,12.85,-0.0115
357,2018/5/30,Trident Acquisitions ,TDACU,Chardan,10,10.01,10.03,0.003
358,2018/6/8,MeiraGTx Holdings plc ,MGTX,BofA Merrill Lynch/ Barclays/ Evercore ISI,15,15.1,15,0
359,2018/6/12,Far Point Acquisition ,FPAC.U,Credit Suisse/ BofA Merrill Lynch,10,10.15,10.16,0.016
360,2018/6/14,Charah Solutions ,CHRA,Morgan Stanley/ BoA Merrill Lynch/ Stife,12,11.75,12,0
361,2018/6/14,U.S. Xpress Enterprises (USX),USX,BofA Merrill Lynch/ Morgan Stanley/ J.P. Morgan/ Wells Fargo Securities,16,16.3,16.68,0.0425
362,2018/6/15,Avalara ,AVLR,Goldman Sachs/ J.P. Morgan Securities/ BofA Merrill Lynch,24,35,44.94,0.8725
363,2018/6/15,Puxin Ltd. ,NEW,Citigroup/ Deutsche Bank Securities/ Barclays/ Haitong International/ CICC,17,17,21,0.2353
364,2018/6/15,Verrica Pharmaceuticals ,VRCA,BofA Merrill Lynch/ Jefferies/ Cowen,15,20,17.5,0.1667
365,2018/6/19,Thunder Bridge Acquisition ,TBRGU,Cantor/ CLSA,10,10.05,10.05,0.005
366,2018/6/20,Eidos Therapeutic ,EIDX,J.P. Morgan/ BofA Merrill Lynch,17,20,23.12,0.36
367,2018/6/20,LF Capital Acquisition ,LFACU,B. Riley FBR/ Raymond James,10,10.02,10,0
368,2018/6/20,Twelve Seas ,TWLVU,EarlyBirdCapital,10,10.02,10.06,0.006
369,2018/6/21,Aptinyx ,APTX,J.P. Morgan/ Cowen/ Leerink Partners/ BMO Capital Markets,16,17.4,22.2,0.3875
370,2018/6/21,AVROBIO ,AVRO,Morgan Stanley/ Cowen/ Wells Fargo Securities,19,29.25,31.2,0.6421
371,2018/6/21,Essential Properties ,EPRT,Goldman Sachs/ Citigroup/ Barclays,14,13.49,13.64,-0.0257
372,2018/6/21,i3 Verticals ,IIIV,Cowen/ Raymond James/ KeyBanc Capital Markets,13,18,18.35,0.4115
373,2018/6/21,Kezar Life Sciences ,KZR,Jefferies/ Cowen/ Wells Fargo Securities/ William Blair,15,20,17.5,0.1667
374,2018/6/21,Magenta Therapeutics ,MGTA,J.P. Morgan/ Goldman Sachs/ Cowen,15,15.5,14.52,-0.032
375,2018/6/21,Xeris Pharmaceuticals ,XERS,Jefferies/ Leerink Partners/ RBC Capital Markets,15,15.75,20.22,0.348
376,2018/6/22,Autolus Therapeutics ,AUTL,Goldman Sachs/ Jefferies,17,28,25,0.4706
377,2018/6/22,Electrocore ,ECOR,Evercore ISI/Cantor/JMP Securities,15,18,19.85,0.3233
378,2018/6/27,HyreCar ,HYRE,Network 1 Financial Securities,5,5.55,5.1,0.02
379,2018/6/27,Lovesac Co. ,LOVE,Roth Capital Partners,16,25,23.99,0.4994
380,2018/6/27,Neon Therapeutics ,NTGN,Morgan Stanley/ BofA Merrill Lynch/ Mizuho Securities,16,16,15,-0.0625
381,2018/6/27,Uxin Limited ,UXIN,Morgan Stanley/ Goldman Sachs (Asia)/ J.P. Morgan/ CICC/ China Renaissance,9,10.4,9.67,0.0744
382,2018/6/28,BJ’s Wholesale Club Holdings ,BJ,BofA Merrill Lynch/ Deutsche Bank Securities/ Goldman Sachs/ J.P. Morgan,17,21.25,22,0.2941
383,2018/6/28,BrightView Holdings ,BV,Goldman Sachs/ J.P. Morgan/ KKR/ UBS Investment Bank/ Baird/ Credit Suisse/ Macquarie Capital/ Jefferies/ Mizuho Securities/ Morgan Stanley/ RBC Capital Markets,22,21.25,21.4,-0.0273
384,2018/6/28,Entera Bio Ltd. ,ENTX,Maxim Group ,8,7.3,6.28,-0.215
385,2018/6/28,Entera Bio Ltd. ,ENTXW,Maxim Group ,0,0.96,0.81,
386,2018/6/28,EverQuote ,EVER,J.P. Morgan/ BofA Merrill Lynch,18,21.15,18.02,0.0011
387,2018/6/28,Forty Seven ,FTSV,Morgan Stanley/ Credit Suisse,16,15.01,15.05,-0.0594
388,2018/6/28,HL Acquisitions ,HCCHU,EarlyBirdCapital,10,10.05,10.07,0.007
389,2018/6/28,Neuronetics ,STIM,Piper Jaffray/ William Blair,17,25,27.78,0.6341
390,2018/6/28,New Frontier ,NFC.U,​Credit Suisse/ UBS Investment Bank​,10,10.05,10.03,0.003
391,2018/6/28,Translate Bio ,TBIO,Citigroup/ Leerink Partners/ Evercore ISI,13,11.5,11.52,-0.1138
392,2018/6/28,Tricida,TCDA,Goldman Sachs/ J.P. Morgan/ Cowen,19,25,26,0.3684
393,2018/6/29,Domo ,DOMO,Morgan Stanley/ Allen & Company/ Credit Suisse/ UBS Securities,21,23.8,27.3,0.3
394,2018/7/3,Allegro Merger ,ALGRU,Cantor,10,10.06,10.05,0.005
395,2018/7/18,Coastal Financial ,CCB,"Keefe, Bruyette & Woods (A Stifel Company)/ Hovde Group",14.5,16.25,16.4,0.131
396,2018/7/18,Crinetics Pharmaceuticals ,CRNX,J.P. Morgan/ Leerink Partners/ Piper Jaffray,17,19.25,24.51,0.4418
397,2018/7/18,Rubius Therapeutics ,RUBY,J.P. Morgan/ Morgan Stanley/ Jefferies/ Leerink Partners,23,30.51,24.25,0.0543
398,2018/7/19,Allakos ,ALLK,Goldman Sachs/ Jefferies,18,27.2,31.25,0.7361
399,2018/7/19,Constellation Pharmaceuticals ,CNST,J.P. Morgan/ Jefferies/ BMO Capital Markets,15,11.48,11.5,-0.2333
400,2018/7/19,Establishment Labs Holdings ,ESTA,Jefferies/ Cowen,18,26,24.75,0.375
401,2018/7/19,First Western Financial ,MYFW,"Keefe, Bruyette & Woods (A Stifel Company)/ Stephens",19,20.75,19.7,0.0368
402,2018/7/19,Tilray ,TLRY,Cowen and Company,17,23.05,22.39,0.3171
403,2018/7/20,Replimune Group ,REPL,J.P. Morgan/ Leerink Partners/ BMO Capital Market,15,16,15.16,0.0107
404,2018/7/25,Aquestive Therapeutics ,AQST,BMO Capital Markets/ RBC Capital Markets,15,15.05,16.5,0.1
405,2018/7/25,Bloom Energy ,BE,J.P. Morgan/ Morgan Stanley/ Credit Suisse/ KeyBanc Capital Markets/ BofA Merrill Lynch,15,18.7,25,0.6667
406,2018/7/25,Greenland Acquisition ,GLACU,Chardan,10,10.11,10.12,0.012
407,2018/7/25,Aurora Mobile Limited ,JG,Goldman Sachs (Asia)/ Credit Suisse/ Deutsche Bank Securities,8.5,9,8.8,0.0353
408,2018/7/26,Cango ,CANG,Morgan Stanley/ BofA Merrill Lynch/ Goldman Sachs (Asia),11,12.5,12.52,0.1382
409,2018/7/26,Focus Financial Partners ,FOCS,Goldman Sachs/ BofA Merrill Lynch/ KKR/ BMO Capital Markets/ RBC Capital Markets/ SunTrust Robinson Humphrey,33,35.9,37.55,0.1379
410,2018/7/26,Liquidia Technologies ,LQDA,Jefferies/ Cowen,11,12.45,11.1,0.0091
411,2018/7/26,Pinduoduo ,PDD,Credit Suisse/ Goldman Sachs (Asia)/ CICC,19,26.5,26.7,0.4053
412,2018/7/26,Tenable Holdings ,TENB,Morgan Stanley/ J.P. Morgan/ Allen & Company/ Deutsche Bank Securities,23,33,30.25,0.3152
413,2018/7/27,Adial Pharmaceuticals ,ADIL,Joseph Gunnar & Co.,5,4,4.05,-0.19
414,2018/7/27,Adial Pharmaceuticals ,ADILW,Joseph Gunnar & Co.,0,0.65,0.65,0
415,2018/7/27,Endava ,DAVA,Morgan Stanley/ Citigroup/ Credit Suisse/ Deutsche Bank Securities,20,25,25.2,0.26
416,2018/7/27,Opera Ltd ,OPRA,CICC/ Citigroup,12,14.34,13.11,0.0925
417,2018/8/2,Cushman & Wakefield plc ,CWK,Morgan Stanley/ J.P. Morgan/ Goldman Sachs/ UBS Securities,17,18,17.81,0.0476
418,2018/8/2,Sonos ,SONO,Morgan Stanley/ Goldman Sachs/ Allen & Company,15,16,19.91,0.3273
419,2018/8/2,Tottenham Acquisition I ,TOTAU,Chardan,10,10.13,10.13,0.013
420,2018/8/3,Arlo Technologies ,ARLO,BofA Merrill Lynch/ Deutsche Bank Securities/ Guggenheim Securities,16,18.5,22.1,0.3813
421,2018/8/3,Forum Merger II ,FMCIU,Jefferies,10,10,9.95,-0.005
422,2018/8/9,Vaccinex ,VCNX,Oppenheimer/ BTIG,12,12,11.38,-0.0517
423,2018/8/10,Mesa Air Group ,MESA,Raymond James/ BofA Merrill Lynch,12,12,11.75,-0.0208
424,2018/8/10,Spartan Energy Acquisition ,SPAQ.U,Citigroup/ Credit Suisse,10,10.1,10.07,0.007
425,2018/8/14,Aridis Pharmaceuticals ,ARDS,Cantor,13,13.02,13,0
426,2018/8/16,TKK Symphony Acquisition ,TKKSU,EarlyBirdCapital,10,10.08,10.04,0.004
427,2018/8/21,Bionano Genomics ,BNGOU,Roth Capital Partners,6.13,6,6.15,0.0041
428,2018/8/21,Tenzing Acquisition ,TZACU,Maxim Group,10,10.01,10.03,0.003
429,2018/8/24,Megalith Financial Acquisition ,MFACU,Chardan/ BTIG,10,10.01,10.02,0.002
430,2018/8/29,Longevity Acquisition ,LOACU,Cantor,10,10.12,10.13,0.013
431,2018/9/7,Churchill Capital ,CCC.U,Citigroup,10,10.02,10.05,0.005
432,2018/9/5,Gores Holdings III ,GRSHU,Deutsche Bank Securities,10,10.17,10.15,0.015
433,2018/9/12,"111, Inc. ",YI,J.P. Morgan/ Citigroup/ CICC,14,16.75,13.8,-0.0143
434,2018/9/12,NIO Inc. ,NIO,Morgan Stanley/ Goldman Sachs (Asia)/ J.P. Morgan,6.26,6,6.6,0.0543
435,2018/9/14,FVCBankcorp ,FVCB,Sandler O'Neill + Partners/ Raymond James,20,21.2,20,0
436,2018/9/14,Principia Biopharma ,PRNB,BofA Merrill Lynch/ Leerink Partners/ Wells Fargo Securities,17,25.66,32.65,0.9206
437,2018/9/14,Qutoutiao,QTT,Citigroup/ Deutsche Bank  Securities,7,9.1,15.97,1.2814
438,2018/9/19,X Financial ,XYF,Deutsche Bank Securities/ Morgan Stanley,9.5,15,11.97,0.26
439,2018/9/20,Bank7 ,BSVN,"Keefe, Bruyette & Woods (A Stifel Company)/ Stephens",19,20,19.09,0.0047
440,2018/9/20,Elanco Animal Health ,ELAN,Goldman Sachs/ J.P. Morgan/ Morgan Stanley,24,32.25,36,0.5
441,2018/9/20,Eventbrite ,EB,Goldman Sachs/ J.P. Morgan/ Allen & Company/ RBC Capital Markets,23,36,36.5,0.587
442,2018/9/21,Farfetch ,FTCH,Goldman Sachs/ J.P. Morgan/ Allen & Company/ UBS Investment Bank,20,27,28.45,0.4225
443,2018/9/21,Y-mAbs Therapeutics ,YMAB,BofA Merrill Lynch/ Cowen/ Canaccord Genuity,16,26.5,24,0.5
