�gnc,Date,Issuer,Symbol,Lead/Joint-Lead _Managers,Offer_Price,Opening_Price,1st Day_Close,1st Day_Chng
3121,2002/6/28,Inveresk Research Group ,IRGI,Bear Stearns/UBS Warburg,13,13.01,13.01,0.0008
3122,2002/7/1,CIT Group ,CIT,Goldman Sachs/Lehman Brothers,23,23,22,-0.0435
3123,2002/7/11,Kirkland's ,KIRK,Merrill Lynch,15,15.1,14.85,-0.01
3124,2002/7/12,HealtheTech,HETC,UBS Warburg/CS First Boston,7.5,7.74,7.6,0.0133
3125,2002/7/19,Red Robin Gourmet Burgers ,RRGB,Banc of America/US Bancorp Piper Jaffray,12,12.26,12.22,0.0183
3126,2002/7/23,Pacific Energy Partners,PPX,Salomon Smith Barney,19.5,19.5,19,-0.0256
3127,2002/7/25,LeapFrog Enterprises ,LF,Merrill Lynch/Salomon Smith Barney,13,15.5,15.85,0.2192
3128,2002/8/16,Windrose Medical Properties Trust ,WRS,"Ferris, Baker Watts/Morgan Keegan",12,12,12,0
3129,2002/10/10,Montpelier Re Holdings ,MRH,Morgan Stanley/BofA/CS First Boston,20,22,23.5,0.175
3130,2002/10/10,Newcastle Investment ,NCT,Bear Stearns/Lehman Brothers,13,13,12.5,-0.0385
3131,2002/10/11,Natural Resource Partners ,NRP,Salomon Smith Barney/Lehman Brothers,20,20,19.4,-0.03
3132,2002/10/11,Enbridge Energy Management LLC ,EEQ,Goldman Sachs,39,38.25,36.99,-0.0515
3133,2002/10/16,Dick's Sporting Goods ,DKS,Merrill Lynch/Goldman Sachs,12,12.25,13.15,0.0958
3134,2002/10/16,Taylor Capital Group ,TAYC,"Keefe, Bruyette/Stifel Nicolaus",16.5,17.75,16.95,0.0273
3135,2002/10/22,U.S.I. Holdings,USIH,Merrill Lynch/JP Morgan,10,10.01,10,0
3136,2002/10/25,Wynn Resorts ,WYNN,Deutsche Bank Securities/Bear Stearns/Banc of America,13,13.01,13.01,0.0008
3137,2002/10/29,Platinum Underwriters Holdings ,PTP,GoldmanSachs/Merrill Lynch/SSB,22.5,25,24.99,0.1107
3138,2002/10/29,Platinum Underwriters Holdings ,PTP Pr M,GoldmanSachs/Merrill Lynch/SSB,25,27.13,27.46,0.0984
3139,2002/11/1,Martin Midstream Partners LP ,MMLP,Raymond James,19,19,17.7,-0.0684
3140,2002/11/6,Harrington West Financial Group ,HWFG,RBC Capital Markets,12,11.9,12.2,0.0167
3141,2002/11/8,Portfolio Recovery Associates ,PRAA,William Blair/US Bancorp Piper Jaffray,13,14.75,15.45,0.1885
3142,2002/11/8,WellChoice ,WC,Credit Suisse First Boston,25,28.5,27.2,0.088
3143,2002/11/12,SI International ,SINT,Wachovia/Legg Mason,14,14.01,14,0
3144,2002/11/14,China Telecom ,CHA,Morgan Stanley/Merrill Lynch/ China Int'l,18.98,18.75,17.96,-0.0537
3145,2002/11/15,Constar International ,CNST,Salomon Smith Barney/Deutsche Bank,12,12,11.85,-0.0125
3146,2002/11/20,IMPAC Medical Systems ,IMPC,Thomas Weisel Partners,15,16.05,17.72,0.1813
3147,2002/11/22,Cosi ,COSI,William Blair,7,7.5,7.6,0.0857
3148,2002/11/22,Safety Insurance Group ,SAFT,CSFirst Boston/Jefferies,12,12.05,12.9,0.075
3149,2002/12/6,Chicago Mercantile Exchange ,CME,Morgan Stanley/UBS Warburg,35,39,42.9,0.2257
3150,2002/12/11,Seagate Technology Holdings ,STX,Morgan Stanley/Salomon Smith Barney,12,11.5,11.5,-0.0417
3151,2002/12/12,Crosstex Energy LP,XTEX,A.G. Edwrads & Sons,20,20.1,20.1,0.005
3152,2002/12/18,Commercial Capital Bancorp ,CCBI,Sandler O'Neill/Friedman Billings,8,8.25,8,0
3153,2002/12/18,VistaCare ,VSTA,Lehman Brothers/SG Cowen,12,13.05,15.05,0.2542
3154,2002/12/19,Ohio Legacy ,OLCB,Friedman Billings Ramsey,8.5,8.55,8.5,0
3155,2001/1/25,Peet's Coffee & Tea,PEET,W.R. Hambracht,8,8.13,9.38,0.1719
3156,2001/1/26,Align Technology ,ALGN,Deutsche Banc Alex. Brown,13,14.75,17.31,0.3317
3157,2001/1/31,EXACT Sciences ,EXAS,Merrill Lynch,14,14.75,14.75,0.0536
3158,2001/2/6,ATP Oil & Gas ,ATPG,Lehman Brothers,14,14.06,14,0
